customer_id,age,gender,annual_income,purchase_amount,purchase_date,next_month_purchase_amount
1,40,Female,119228,986.86,2023-11-22T19:16:58+03:00,
1,40,Female,119228,1102.69,2024-03-19T19:16:58+03:00,
1,40,Female,119228,428.70,2023-11-05T19:16:58+03:00,
1,40,Female,119228,261.08,2024-04-28T19:16:58+03:00,
1,40,Female,119228,1247.51,2023-10-23T19:16:58+03:00,
1,40,Female,119228,216.73,2024-02-10T19:16:58+03:00,
1,40,Female,119228,96.20,2023-07-20T19:16:58+03:00,
1,40,Female,119228,991.39,2023-12-23T19:16:58+03:00,
1,40,Female,119228,629.34,2023-07-06T19:16:58+03:00,
1,40,Female,119228,712.36,2023-12-10T19:16:58+03:00,
1,40,Female,119228,775.89,2023-10-12T19:16:58+03:00,
2,64,Male,112085,553.88,2023-11-26T19:16:58+03:00,
2,64,Male,112085,1086.54,2023-11-10T19:16:58+03:00,
2,64,Male,112085,461.49,2023-08-24T19:16:58+03:00,
2,64,Male,112085,1274.57,2023-09-23T19:16:58+03:00,
2,64,Male,112085,1356.32,2023-06-09T19:16:58+03:00,
2,64,Male,112085,575.01,2023-06-07T19:16:58+03:00,
2,64,Male,112085,137.88,2024-05-15T19:16:58+03:00,
2,64,Male,112085,277.45,2023-11-08T19:16:58+03:00,
2,64,Male,112085,306.62,2024-05-04T19:16:58+03:00,
2,64,Male,112085,301.60,2024-01-01T19:16:58+03:00,
3,,Female,65840,98.47,2023-08-20T19:16:58+03:00,
3,,Female,65840,394.43,2024-02-01T19:16:58+03:00,
3,,Female,65840,695.74,2023-09-11T19:16:58+03:00,
3,,Female,65840,264.61,2023-07-06T19:16:58+03:00,
3,,Female,65840,966.74,2023-08-25T19:16:58+03:00,
3,,Female,65840,13.14,2023-06-08T19:16:58+03:00,
4,53,Female,98212,71.79,2023-08-21T19:16:58+03:00,
4,53,Female,98212,896.13,2023-11-09T19:16:58+03:00,
4,53,Female,98212,909.87,2023-09-17T19:16:58+03:00,
4,53,Female,98212,1103.21,2023-06-13T19:16:58+03:00,
5,36,Female,125619,860.00,2023-09-06T19:16:58+03:00,
5,36,Female,125619,463.00,2023-11-11T19:16:58+03:00,
5,36,Female,125619,1236.37,2024-02-13T19:16:58+03:00,
5,36,Female,125619,1133.20,2024-05-05T19:16:58+03:00,
6,34,Female,71715,724.31,2023-10-03T19:16:58+03:00,
6,34,Female,71715,873.44,2024-01-22T19:16:58+03:00,
6,34,Female,71715,614.38,2023-06-23T19:16:58+03:00,
7,28,Female,105233,730.13,2023-11-24T19:16:58+03:00,
7,28,Female,105233,1150.42,2023-08-07T19:16:58+03:00,
7,28,Female,105233,356.62,2024-04-04T19:16:58+03:00,
8,60,Female,88620,843.31,2023-07-19T19:16:58+03:00,
8,60,Female,88620,1128.13,2024-03-19T19:16:58+03:00,
8,60,Female,88620,340.32,2024-02-09T19:16:58+03:00,
9,37,Female,109408,365.59,2024-01-31T19:16:58+03:00,
9,37,Female,109408,989.88,2023-09-22T19:16:58+03:00,
10,53,Female,86478,1107.99,2024-05-21T19:16:58+03:00,
10,53,Female,86478,827.85,2023-05-25T19:16:58+03:00,
10,53,Female,86478,97.47,2023-11-02T19:16:58+03:00,
11,39,Female,122769,1155.40,2023-10-04T19:16:58+03:00,
11,39,Female,122769,82.07,2023-10-08T19:16:58+03:00,
11,39,Female,122769,147.16,2023-11-19T19:16:58+03:00,
12,36,Female,111451,834.40,2023-06-08T19:16:58+03:00,
12,36,Female,111451,677.88,2024-03-31T19:16:58+03:00,
12,36,Female,111451,740.58,2023-12-04T19:16:58+03:00,
12,36,Female,111451,1384.18,2023-08-03T19:16:58+03:00,
12,36,Female,111451,250.66,2023-06-15T19:16:58+03:00,
12,36,Female,111451,250.67,2023-05-29T19:16:58+03:00,
12,36,Female,111451,265.16,2024-05-02T19:16:58+03:00,
14,53,Male,32594,970.77,2024-01-13T19:16:58+03:00,
14,53,Male,32594,841.26,2023-12-13T19:16:58+03:00,
14,53,Male,32594,505.03,2023-12-28T19:16:58+03:00,
14,53,Male,32594,329.76,2024-03-09T19:16:58+03:00,
14,53,Male,32594,483.24,2024-01-24T19:16:58+03:00,
15,20,Female,121746,1068.87,2023-10-10T19:16:58+03:00,
15,20,Female,121746,755.28,2023-07-14T19:16:58+03:00,
15,20,Female,121746,1343.25,2023-05-30T19:16:58+03:00,
16,25,Female,110447,242.39,2023-06-01T19:16:58+03:00,
16,25,Female,110447,618.96,2023-08-30T19:16:58+03:00,
16,25,Female,110447,1115.79,2023-09-03T19:16:58+03:00,
16,25,Female,110447,553.86,2023-10-06T19:16:58+03:00,
16,25,Female,110447,1122.99,2023-10-18T19:16:58+03:00,
16,25,Female,110447,867.69,2023-12-19T19:16:58+03:00,
17,23,Female,91234,685.67,2023-08-18T19:16:58+03:00,
17,23,Female,91234,1033.63,2023-09-27T19:16:58+03:00,
17,23,Female,91234,954.45,2023-12-30T19:16:58+03:00,
17,23,Female,91234,996.73,2023-07-04T19:16:58+03:00,
17,23,Female,91234,297.32,2023-11-13T19:16:58+03:00,
17,23,Female,91234,485.18,2023-08-26T19:16:58+03:00,
17,23,Female,91234,693.25,2023-12-02T19:16:58+03:00,
17,23,Female,91234,121.63,2024-05-12T19:16:58+03:00,
18,27,Female,113575,178.41,2023-11-12T19:16:58+03:00,
18,27,Female,113575,780.49,2023-08-09T19:16:58+03:00,
18,27,Female,113575,150.14,2023-12-05T19:16:58+03:00,
19,21,Female,68705,7.67,2024-04-05T19:16:58+03:00,
19,21,Female,68705,990.03,2023-12-17T19:16:58+03:00,
19,21,Female,68705,915.49,2024-03-27T19:16:58+03:00,
19,21,Female,68705,583.66,2023-07-30T19:16:58+03:00,
20,33,Male,76401,464.00,2023-07-04T19:16:58+03:00,
20,33,Male,76401,985.40,2024-01-07T19:16:58+03:00,
21,31,Male,104607,260.33,2024-04-26T19:16:58+03:00,
21,31,Male,104607,81.12,2023-06-01T19:16:58+03:00,
21,31,Male,104607,1098.82,2024-01-17T19:16:58+03:00,
21,31,Male,104607,502.39,2024-03-02T19:16:58+03:00,
21,31,Male,104607,343.89,2023-09-11T19:16:58+03:00,
21,31,Male,104607,1177.76,2023-07-09T19:16:58+03:00,
21,31,Male,104607,53.77,2023-07-28T19:16:58+03:00,
21,31,Male,104607,1097.86,2024-03-10T19:16:58+03:00,
22,29,Male,71216,123.25,2024-01-23T19:16:58+03:00,
22,29,Male,71216,767.78,2024-04-20T19:16:58+03:00,
22,29,Male,71216,891.71,2024-01-11T19:16:58+03:00,
22,29,Male,71216,500.45,2023-12-14T19:16:58+03:00,
23,37,Female,109576,840.33,2023-09-03T19:16:58+03:00,
23,37,Female,109576,480.86,2023-09-07T19:16:58+03:00,
24,33,Female,125093,883.49,2024-03-03T19:16:58+03:00,
24,33,Female,125093,509.89,2024-01-27T19:16:58+03:00,
24,33,Female,125093,252.36,2023-11-11T19:16:58+03:00,
24,33,Female,125093,1212.78,2023-05-27T19:16:58+03:00,
24,33,Female,125093,256.92,2024-04-10T19:16:58+03:00,
24,33,Female,125093,882.27,2023-09-25T19:16:58+03:00,
25,51,Female,92137,276.08,2023-09-04T19:16:58+03:00,
25,51,Female,92137,944.99,2023-08-16T19:16:58+03:00,
26,26,Female,67785,597.55,2024-05-08T19:16:58+03:00,
27,37,Female,126235,492.95,2024-02-18T19:16:58+03:00,
27,37,Female,126235,259.93,2024-05-09T19:16:58+03:00,
27,37,Female,126235,290.50,2023-09-16T19:16:58+03:00,
27,37,Female,126235,119.32,2023-11-07T19:16:58+03:00,
27,37,Female,126235,126.64,2023-11-25T19:16:58+03:00,
27,37,Female,126235,1346.69,2023-09-30T19:16:58+03:00,
27,37,Female,126235,395.81,2024-05-02T19:16:58+03:00,
28,32,Female,106797,869.71,2023-07-18T19:16:58+03:00,
28,32,Female,106797,746.08,2023-06-07T19:16:58+03:00,
29,43,Female,112259,284.28,2023-07-26T19:16:58+03:00,
29,43,Female,112259,390.33,2024-01-13T19:16:58+03:00,
29,43,Female,112259,839.21,2023-08-21T19:16:58+03:00,
29,43,Female,112259,330.80,2023-08-25T19:16:58+03:00,
30,18,Male,75824,912.07,2023-11-06T19:16:58+03:00,
30,18,Male,75824,482.59,2024-04-18T19:16:58+03:00,
30,18,Male,75824,777.29,2024-05-07T19:16:58+03:00,
30,18,Male,75824,331.19,2023-10-06T19:16:58+03:00,
31,35,Female,83818,152.44,2023-08-06T19:16:58+03:00,
31,35,Female,83818,78.45,2023-12-24T19:16:58+03:00,
31,35,Female,83818,123.02,2023-06-25T19:16:58+03:00,
31,35,Female,83818,940.92,2024-02-04T19:16:58+03:00,
31,35,Female,83818,778.87,2023-07-12T19:16:58+03:00,
31,35,Female,83818,989.21,2024-01-27T19:16:58+03:00,
31,35,Female,83818,686.74,2023-11-04T19:16:58+03:00,
32,38,Male,126028,569.29,2023-10-19T19:16:58+03:00,
32,38,Male,126028,1318.92,2024-04-27T19:16:58+03:00,
33,20,Female,42283,303.31,2024-04-24T19:16:58+03:00,
33,20,Female,42283,84.14,2023-07-22T19:16:58+03:00,
33,20,Female,42283,555.45,2023-08-02T19:16:58+03:00,
33,20,Female,42283,530.33,2023-10-15T19:16:58+03:00,
34,25,Female,70145,859.29,2023-12-18T19:16:58+03:00,
34,25,Female,70145,310.83,2024-03-08T19:16:58+03:00,
34,25,Female,70145,144.53,2024-01-31T19:16:58+03:00,
35,28,Female,103442,1099.15,2023-08-25T19:16:58+03:00,
35,28,Female,103442,584.91,2023-07-13T19:16:58+03:00,
35,28,Female,103442,73.88,2024-04-29T19:16:58+03:00,
35,28,Female,103442,977.25,2023-06-14T19:16:58+03:00,
